,m,uw,jh,ae,ay,oy,sh,dx,th,v,hh,aa,ey,q,t,f,g,n,k,b,aw,y,d,z,ng,iy,w,uh,ow,r,ch,l,dh,ah,ih,p,er,s,eh
ih_eh,0.5,2,0,0,0,0,0,0,0,0,0.5,0,38.5,0,0.5,0,0,8.5,0,0,0,2,0,0,0,0,0,0.5,9.5,2.5,0,0,0,45.5,298,0,6.5,0,554
ih_ey,0,0,0,0.5,4.5,0,0,0.5,0,0,0,0,613.5,0,0,0,0,9,0,0,0,0.5,0,0,6.5,0.5,0.5,0,9,3.5,0,0,0,21.5,197.5,0,5.5,0,127.5
ih_ih,1,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,10.5,0,0,0,3,0,0,0,1.5,0,2,2.5,3,0,0,0,4.5,919,0,1.5,0,11.5
ih_ow,1,1,0,0,1.5,0,0,0,0,0,0,4,21.5,0,2,0,0,292,0,1.5,0.5,1,0,0.5,1.5,0,3,1,594.5,7.5,0,12,0,67.5,92,0,15.5,0,172
ih_t,3,22,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,85,0,0,27,0,0,0,4.5,0,0,0,0,0,4,5,2,0,0,0,26,573,0,12,0.5,10.5
ow_aa,0,0,0,0,9.5,0,0,0,0,0,0.5,260.5,0,0,1.5,0,0,639,0,39,0,0,0,0,0.5,0,0,0,616,35.5,0,2.5,0,105,0,0,9.5,0,0
ow_ay,0.5,0.5,0,0,497.5,0,0,0,0,0,0,13,13.5,0,1,0,0,220.5,0,73.5,0,0,0,0,4.5,0,4.5,0,187.5,5.5,0,1.5,0,289.5,0,0,10.5,0,1.5
ow_eh,0.5,0.5,0,0,8.5,0,0,0.5,0,0,0.5,0,14,0,2,0,0,206.5,0,1,1,0,0,0,0.5,0,0,0,445,4,0,6.5,0,198.5,6.5,0,17.5,0,302
ow_ey,0.5,4,0,0,21.5,0,0,0,0,0,0,0,401.5,0,0,0,0,193,0,1,0,4,0,0,4,1,1.5,0.5,384,0.5,0,4,0,76.5,5,0,1,0,106
ow_ow,0,0,0,0,0.5,0,0,0,0,0,0,2,0,0,0.5,0,0,578.5,0,6.5,0,0,0,0,0,0,0,0,917,0,0,0,0,79,0.5,0,0.5,0,2.5
s_aa,0,0,0,0,3.5,0,0,0,0,0,10,81,0,0,506,0.5,0,60,0,0,0,0,0,0,0,0,1,0,2.5,15.5,0,4,0,493.5,0,0.5,15.5,380,2
s_ay,0,3,0,0,89.5,0,1,0.5,1,0,23,11,9,0,368.5,2,0,46,0,0.5,0,3,0,1.5,0.5,0,1.5,0.5,0,7,0,2,0,731,8.5,0,14,201.5,2
s_eh,0,0,0,0,0,0,0,0,0,0,2.5,0,7.5,0,133.5,2.5,0,6,0,0,0,0,0,36.5,0,0,0,0.5,0.5,0,0,0,0,198,406.5,0,1.5,263.5,121
