,m,uw,jh,ae,ay,oy,sh,dx,th,v,hh,aa,ey,q,t,f,g,n,k,b,aw,y,d,z,ng,iy,w,uh,ow,r,ch,l,dh,ah,ih,p,er,s,eh
er_er,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.5,0.0,0.0,0.0,0.0,145.5,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,6.0,72.5,27.5,0.0,0.0,0.0,227.5,68.0,0.0,550.5,0.0,21.0
er_ey,0.0,2.5,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,325.5,0.0,0.0,0.0,0.0,122.5,0.0,8.0,0.0,3.0,0.0,0.0,3.5,1.5,0.5,3.0,140.5,16.5,0.0,0.0,0.0,224.0,95.0,0.0,45.0,0.0,100.5
er_ih,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.5,10.0,0.0,0.0,0.0,0.0,126.5,0.0,6.5,0.0,0.5,0.0,0.0,0.0,0.0,1.5,6.5,64.0,42.0,0.0,0.0,0.0,268.0,156.0,0.0,295.5,0.0,42.5
er_ow,1.0,0.5,0.0,0.0,4.5,0.0,0.0,0.5,0.0,0.0,1.0,16.0,2.5,0.0,0.0,0.0,0.0,409.5,0.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,482.5,14.5,0.0,2.0,0.0,304.5,8.5,0.0,138.0,0.0,26.5
er_t,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,167.5,0.0,0.0,125.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,46.5,23.5,0.0,0.0,0.0,143.5,66.0,0.0,415.0,0.5,9.0
ey_aa,0.5,3.5,0.0,0.0,104.0,0.0,0.0,0.5,0.0,0.0,1.5,25.0,163.5,0.0,1.5,0.0,0.0,196.5,0.0,13.0,0.5,5.0,0.0,0.0,3.5,3.0,2.0,0.0,270.0,9.0,0.0,5.0,0.0,266.5,24.5,0.0,8.5,0.0,118.5
ey_ay,0.0,2.5,0.0,0.0,285.5,0.0,0.0,1.0,0.0,0.0,1.0,9.0,247.0,0.0,0.0,0.0,0.0,119.0,0.0,14.0,1.5,3.5,0.0,0.0,2.0,1.0,1.0,0.5,111.5,6.0,0.0,0.0,0.0,286.5,9.0,0.0,13.5,0.0,38.0
ey_eh,0.5,4.5,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,403.5,0.0,0.0,0.0,0.0,38.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,0.5,0.5,0.0,77.5,2.0,0.0,0.0,0.0,216.5,61.0,0.0,15.5,0.0,176.5
ey_ey,0.0,0.5,0.0,0.0,12.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,775.5,0.0,0.0,0.0,0.0,12.5,0.0,1.5,0.0,0.5,0.0,0.0,8.5,0.5,0.0,0.5,15.0,1.0,0.0,0.0,0.0,32.5,63.0,0.0,1.0,0.0,96.0
ih_aa,0.0,0.0,0.0,0.0,30.5,0.0,0.0,0.0,0.0,0.0,1.0,112.0,3.0,0.0,6.0,0.0,0.0,315.5,0.0,19.5,0.5,0.0,0.0,0.0,0.0,0.0,6.5,0.0,298.0,16.0,0.0,1.0,0.0,333.5,21.0,0.0,31.5,0.0,58.0
