,m,uw,jh,ae,ay,oy,sh,dx,th,v,hh,aa,ey,q,t,f,g,n,k,b,aw,y,d,z,ng,iy,w,uh,ow,r,ch,l,dh,ah,ih,p,er,s,eh
ah_ah,0,1,0,0,8,0,0,0,0,0,0,6,0,0,2,0,0,63,0,2,0,0,0,0,0,0,0,2,90,0,0,0,0,670,7,0,21,0,5
ah_s,0,0,0,0,1,0,2,0,0,0,0,2,0,0,127,3,0,22,0,0,0,0,0,3,0,0,1,2,2,0,0,1,0,353,174,0,9,222,0
ah_er,0,2,0,0,3,0,0,0,0,0,1,3,2,0,2,0,0,165,0,35,0,1,0,0,0,0,2,7,66,19,0,0,0,487,25,0,305,0,23
ah_ih,1,3,0,0,3,0,0,0,0,0,0,2,11,0,1,0,0,38,2,1,0,2,0,0,0,0,1,2,66,0,0,0,0,408,64,0,65,0,36
ah_t,0,1,0,0,3,0,0,0,0,0,1,2,0,0,92,0,0,68,0,0,0,0,0,0,0,0,1,7,83,0,0,0,0,280,18,0,42,1,1
ah_ow,1,0,0,0,8,0,0,0,0,0,1,26,2,0,7,0,0,270,0,4,0,0,0,0,0,0,4,3,584,1,0,1,0,326,1,0,5,0,6
ah_ey,0,5,0,0,51,0,0,0,0,0,2,1,461,0,2,0,0,21,1,4,0,3,0,0,4,1,1,0,38,2,0,0,0,221,42,0,7,0,92
ah_ay,0,0,0,0,444,0,0,0,0,0,7,35,16,0,1,0,0,63,0,43,0,0,0,0,0,0,4,0,37,18,0,0,0,436,0,0,16,0,4
ah_aa,0,0,0,0,17,0,0,0,0,0,0,117,0,0,8,0,0,311,0,29,0,0,0,0,0,0,4,1,301,16,0,0,0,487,1,0,9,0,5
ah_eh,0,0,0,0,5,0,0,0,0,0,0,2,18,0,1,0,0,35,0,1,0,0,0,0,0,0,2,0,70,0,0,0,0,654,15,0,58,0,57
s_s,0,0,0,0,0,0,4,0,0,0,0,0,0,0,943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,621,0
s_er,0,3,0,0,0,0,3,0,0,0,1,3,0,0,157,4,0,101,2,0,0,0,0,41,0,0,2,45,3,3,0,1,0,217,313,0,77,174,4
s_ih,1,3,0,0,0,0,1,0,0,0,0,2,0,0,61,3,0,4,0,0,0,0,0,27,0,0,0,4,1,0,0,0,0,68,458,0,5,254,3
s_t,0,0,0,0,0,0,2,0,0,0,0,1,0,0,581,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,55,0,14,361,0
s_ow,4,2,0,0,0,0,0,2,0,0,2,17,0,0,351,1,0,99,0,0,0,0,0,14,0,0,9,26,97,4,0,0,0,337,81,0,7,185,21
s_ey,0,27,0,0,0,0,1,0,0,0,1,1,122,0,219,0,0,21,0,0,0,8,0,35,0,3,0,4,3,2,0,0,0,81,395,0,2,46,57
s_ay,0,2,0,0,89,0,0,0,0,0,17,20,11,0,417,1,0,70,0,0,0,1,0,3,2,0,0,1,2,15,0,2,0,583,36,0,34,100,4
s_aa,0,0,0,0,5,0,0,0,0,0,7,37,0,0,420,0,0,60,0,0,0,0,0,0,0,0,5,1,24,12,0,2,0,483,20,0,5,200,6
s_eh,0,0,0,0,0,0,0,0,0,0,0,0,4,0,159,3,0,15,0,0,0,0,0,11,0,0,0,3,3,0,0,0,0,387,160,0,17,179,27
er_er,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,144,0,57,0,0,0,0,0,1,3,7,79,25,0,0,0,226,72,0,544,0,19
er_ih,0,3,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,119,0,8,0,1,0,0,0,0,2,5,69,37,0,0,0,274,150,0,293,0,37
er_t,0,4,0,0,0,0,0,0,0,0,1,2,2,0,178,0,0,120,0,0,0,0,0,0,0,0,0,25,43,30,0,0,0,130,73,0,410,1,8
er_ow,1,0,0,0,8,0,0,0,0,0,1,14,1,0,0,0,0,411,0,40,0,0,0,0,0,0,1,0,475,17,0,2,0,321,9,0,135,0,26
er_ey,0,4,0,0,36,0,0,0,0,0,0,0,302,0,0,0,0,131,0,6,0,4,0,0,4,1,1,3,147,16,0,0,0,236,107,0,38,0,102
er_ay,0,0,0,0,279,0,0,1,0,0,1,37,15,0,0,0,0,212,0,54,0,0,0,0,0,0,2,0,104,21,0,0,0,439,5,0,125,0,8
er_aa,0,0,0,0,16,0,0,0,0,0,3,84,0,0,0,0,0,366,0,54,0,0,0,0,0,0,2,3,311,36,0,1,0,388,3,0,151,0,16
er_eh,0,0,0,0,4,0,0,0,0,0,1,7,13,0,0,0,0,148,0,14,0,0,0,0,0,0,0,2,110,20,0,0,0,539,49,0,153,0,74
ih_ih,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0,120,271,0,38,0,55
ih_t,0,5,0,0,0,0,0,0,0,0,0,0,8,0,57,0,0,8,0,0,0,1,0,0,0,0,0,4,33,0,0,0,0,77,151,0,26,1,13
ih_ow,0,0,0,0,1,0,0,0,0,0,0,13,5,0,4,0,0,286,0,0,1,0,0,0,0,0,0,3,600,0,0,4,0,184,22,0,17,0,108
ih_ey,0,2,0,0,24,0,0,0,0,0,1,0,502,0,0,0,0,9,0,1,0,1,0,0,3,0,0,1,26,2,0,0,0,73,133,0,10,0,152
ih_ay,0,0,0,0,375,0,0,0,0,0,6,58,31,0,0,0,0,95,0,20,0,0,0,0,0,0,3,1,54,29,0,0,0,384,16,0,35,0,16
ih_aa,0,0,0,0,33,0,0,0,0,0,1,117,4,0,4,0,0,307,0,16,1,0,0,0,0,0,6,0,280,16,0,2,0,357,19,0,37,0,57
ih_eh,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,28,0,0,0,0,0,0,0,0,1,0,112,1,0,0,0,388,91,0,50,0,152
t_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,7,2,0
t_ow,3,1,0,0,1,0,0,0,0,0,0,24,0,0,263,0,0,216,0,1,0,0,0,0,0,0,14,13,563,2,0,0,0,149,6,0,21,0,21
t_ey,0,29,0,0,9,0,0,1,0,0,2,0,308,0,146,0,0,17,0,0,0,1,0,0,0,0,1,4,22,3,0,0,0,68,81,0,17,0,139
t_ay,0,1,0,0,294,0,0,0,0,0,41,57,16,0,185,0,0,96,1,3,0,0,0,0,0,0,3,3,23,27,0,0,0,338,4,0,65,0,7
t_aa,1,0,0,0,35,0,0,0,0,0,3,104,0,0,333,0,0,220,0,1,0,0,0,0,0,0,30,3,217,15,0,0,0,237,0,0,58,0,10
t_eh,0,1,0,0,0,0,0,0,0,0,1,0,16,0,199,0,0,31,0,0,0,0,0,0,0,0,0,0,105,1,0,0,0,272,20,0,71,0,51
ow_ow,1,0,0,0,4,0,0,0,0,1,0,4,0,0,1,0,0,508,0,6,1,0,0,0,0,0,0,0,752,0,0,3,0,229,0,0,1,0,8
ow_ey,0,2,0,0,47,0,0,0,0,0,0,0,351,0,0,0,0,173,0,6,2,2,0,0,2,1,2,0,321,1,0,3,0,123,17,0,8,0,125
ow_ay,0,0,0,0,319,0,0,0,0,0,1,23,24,0,1,0,0,246,0,54,0,0,0,0,4,0,4,0,224,11,0,1,0,397,2,0,17,0,10
ow_aa,0,2,0,0,11,0,0,0,0,0,0,72,0,0,1,0,0,432,0,35,0,0,0,0,0,0,1,0,537,13,0,3,0,366,0,0,9,0,4
ow_eh,1,0,0,0,6,0,0,0,0,0,2,4,17,0,2,0,0,248,0,2,0,0,0,0,0,0,3,0,451,2,0,2,0,389,5,0,24,0,96
ey_ey,0,1,0,0,15,0,0,0,0,0,0,0,780,0,0,0,0,15,0,2,0,1,0,0,8,1,0,0,16,2,0,0,0,33,59,0,0,0,94
ey_ay,0,1,0,0,289,0,0,1,0,0,2,8,240,0,0,0,0,118,0,19,3,2,0,0,1,2,1,0,107,6,0,0,0,289,8,0,16,0,40
ey_aa,1,2,0,0,89,0,0,1,0,0,1,25,161,0,2,0,0,188,0,10,0,3,0,0,6,3,2,0,293,9,0,2,0,271,24,0,6,0,112
ey_eh,0,3,0,0,23,0,0,0,0,0,0,0,394,0,0,0,0,32,0,2,0,4,0,0,1,0,0,0,65,3,0,0,0,222,61,0,22,0,183
ay_ay,0,0,0,0,574,0,0,0,0,0,2,26,14,0,0,0,0,83,0,31,0,0,0,0,0,0,6,0,33,8,0,0,0,378,0,0,22,0,0
ay_aa,0,0,0,0,373,0,0,0,0,0,0,53,3,0,1,0,0,142,0,60,0,0,0,0,1,0,6,0,122,11,0,0,0,446,0,0,10,0,8
ay_eh,0,0,0,0,302,0,0,0,0,0,1,16,22,0,0,0,0,116,0,12,0,0,0,0,0,0,3,1,76,12,0,0,0,518,11,0,38,0,19
aa_aa,0,0,0,0,34,0,0,1,0,0,2,183,0,0,2,0,0,249,0,86,0,0,0,0,0,0,2,0,244,19,0,0,0,526,0,0,8,0,0
aa_eh,0,0,0,0,13,0,0,0,0,0,0,55,4,0,3,0,0,230,0,7,0,0,0,0,0,0,2,0,286,9,0,4,0,545,2,0,32,0,55
eh_eh,0,0,0,0,1,0,0,0,0,0,0,0,33,0,1,0,0,44,0,1,0,0,0,0,0,0,0,0,89,0,0,0,0,611,31,0,45,0,154
