,m,uw,jh,ae,ay,oy,sh,dx,th,v,hh,aa,ey,q,t,f,g,n,k,b,aw,y,d,z,ng,iy,w,uh,ow,r,ch,l,dh,ah,ih,p,er,s,eh
ah_ah,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,5,0,0,0,0,0,0,3,0,53,0,0,0,0,929,1,0,9,0,3
ah_s,0,0,0,0,0,0,2,0,0,1,1,4,0,0,105,2,0,20,0,0,0,0,0,9,0,0,0,1,1,0,0,0,0,624,146,0,4,466,1
ah_er,0,2,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0,272,0,70,0,0,0,0,0,0,3,2,64,25,0,0,0,595,9,0,336,0,9
ah_ih,1,14,0,0,5,0,0,0,0,0,0,2,42,0,0,0,0,52,0,2,0,14,0,0,0,0,4,3,62,0,0,0,0,472,173,0,59,0,88
ah_t,0,0,0,0,0,0,0,0,0,0,1,0,0,0,208,0,0,60,1,0,0,0,0,0,0,0,0,0,56,0,0,0,0,385,49,0,85,0,4
ah_ow,1,0,0,0,4,0,0,0,0,0,1,3,0,0,1,0,0,356,0,10,0,0,0,0,0,0,2,1,651,0,0,0,0,332,2,0,2,0,5
ah_ey,0,13,0,0,48,0,0,1,0,0,1,0,566,0,0,0,0,35,0,3,0,14,0,0,2,1,1,0,53,0,0,0,0,271,11,0,2,0,41
ah_ay,0,0,0,0,653,0,0,0,0,0,1,22,7,0,0,0,0,60,0,64,0,0,0,0,1,0,8,0,21,7,0,0,0,339,0,0,4,0,1
ah_aa,0,0,0,0,10,0,0,0,0,0,1,476,0,0,1,0,0,411,0,26,2,0,0,0,0,0,1,1,323,59,0,3,0,177,0,0,3,0,3
ah_eh,0,1,0,0,8,0,0,0,0,0,1,0,25,0,1,0,0,26,1,0,0,1,0,0,0,0,1,0,51,0,0,0,0,593,30,0,17,0,243
s_s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,0
s_er,0,0,0,0,0,0,0,0,0,0,3,4,1,0,66,3,0,174,0,0,0,0,0,135,0,0,0,60,9,4,0,2,0,349,371,0,35,277,1
s_ih,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,2,0,6,0,0,0,1,0,121,0,0,0,0,0,0,0,0,0,6,960,0,0,350,2
s_t,0,0,0,0,0,0,3,0,0,0,0,2,0,0,699,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,67,0,15,694,0
s_ow,0,1,0,0,0,0,0,0,0,0,6,1,1,0,254,2,0,119,0,0,0,0,0,22,0,0,5,15,80,1,0,3,0,359,108,0,0,341,18
s_ey,0,19,0,0,0,0,2,4,0,0,1,1,171,0,120,2,0,10,0,0,0,15,0,48,4,0,0,3,0,0,0,0,0,39,496,0,2,67,52
